Kanata	0004
C=	1
R	             54	             52	          0
C	1
I	             58	             58	  0
S	             58	          0	F
L	             58	          0	PC 00001168
S	             56	          0	E
L	             56	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002030, data: 'h00000000 }
S	             57	          0	D
L	             57	          0	PC 00001164
S	             57	          0	D
L	             57	          0	 Scoreboard Set: 0e 00000000
R	             55	             53	          0
C	1
S	             56	          0	W
I	             59	             59	  0
S	             59	          0	F
L	             59	          0	PC 0000116c
S	             57	          0	E
L	             57	          0	 Standard instr 
C	1
S	             57	          0	W
L	             57	          0	 Scoreboard: 0e 00000001
S	             58	          0	D
L	             58	          0	PC 00001168
S	             58	          0	D
R	             56	             54	          0
C	1
I	             60	             60	  0
S	             60	          0	F
L	             60	          0	PC 00001170
S	             58	          0	E
L	             58	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002034, data: 'h00000000 }
S	             59	          0	D
L	             59	          0	PC 0000116c
S	             59	          0	D
L	             59	          0	 Scoreboard Set: 0e 00000000
R	             57	             55	          0
C	1
S	             58	          0	W
I	             61	             61	  0
S	             61	          0	F
L	             61	          0	PC 00001174
S	             59	          0	E
L	             59	          0	 Standard instr 
C	1
S	             59	          0	W
L	             59	          0	 Scoreboard: 0e 00000001
S	             60	          0	D
L	             60	          0	PC 00001170
S	             60	          0	D
R	             58	             56	          0
C	1
I	             62	             62	  0
S	             62	          0	F
L	             62	          0	PC 00001178
S	             60	          0	E
L	             60	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002038, data: 'h00000000 }
S	             61	          0	D
L	             61	          0	PC 00001174
S	             61	          0	D
L	             61	          0	 Scoreboard Set: 0e 00000000
R	             59	             57	          0
C	1
S	             60	          0	W
I	             63	             63	  0
S	             63	          0	F
L	             63	          0	PC 0000117c
S	             61	          0	E
L	             61	          0	 Standard instr 
C	1
S	             61	          0	W
L	             61	          0	 Scoreboard: 0e 00000001
S	             62	          0	D
L	             62	          0	PC 00001178
S	             62	          0	D
R	             60	             58	          0
C	1
I	             64	             64	  0
S	             64	          0	F
L	             64	          0	PC 00001180
S	             62	          0	E
L	             62	          0	 MEM Mem { byte_en: 'hf, addr: 'h0000203c, data: 'h00000000 }
S	             63	          0	D
L	             63	          0	PC 0000117c
S	             63	          0	D
L	             63	          0	 Scoreboard Set: 0e 00000000
R	             61	             59	          0
C	1
S	             62	          0	W
I	             65	             65	  0
S	             65	          0	F
L	             65	          0	PC 00001184
S	             63	          0	E
L	             63	          0	 Standard instr 
C	1
S	             63	          0	W
L	             63	          0	 Scoreboard: 0e 00000001
S	             64	          0	D
L	             64	          0	PC 00001180
S	             64	          0	D
R	             62	             60	          0
C	1
I	             66	             66	  0
S	             66	          0	F
L	             66	          0	PC 00001188
S	             64	          0	E
L	             64	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002040, data: 'h00000000 }
S	             65	          0	D
L	             65	          0	PC 00001184
S	             65	          0	D
L	             65	          0	 Scoreboard Set: 0e 00000000
R	             63	             61	          0
C	1
S	             64	          0	W
I	             67	             67	  0
S	             67	          0	F
L	             67	          0	PC 0000118c
S	             65	          0	E
L	             65	          0	 Standard instr 
C	1
S	             65	          0	W
L	             65	          0	 Scoreboard: 0e 00000001
S	             66	          0	D
L	             66	          0	PC 00001188
S	             66	          0	D
R	             64	             62	          0
C	1
I	             68	             68	  0
S	             68	          0	F
L	             68	          0	PC 00001190
S	             66	          0	E
L	             66	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002044, data: 'h00000000 }
S	             67	          0	D
L	             67	          0	PC 0000118c
S	             67	          0	D
L	             67	          0	 Scoreboard Set: 0e 00000000
R	             65	             63	          0
C	1
S	             66	          0	W
I	             69	             69	  0
S	             69	          0	F
L	             69	          0	PC 00001194
S	             67	          0	E
L	             67	          0	 Standard instr 
C	1
S	             67	          0	W
L	             67	          0	 Scoreboard: 0e 00000001
S	             68	          0	D
L	             68	          0	PC 00001190
S	             68	          0	D
R	             66	             64	          0
C	1
I	             70	             70	  0
S	             70	          0	F
L	             70	          0	PC 00001198
S	             68	          0	E
L	             68	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002048, data: 'h00000000 }
S	             69	          0	D
L	             69	          0	PC 00001194
S	             69	          0	D
L	             69	          0	 Scoreboard Set: 0f 00000000
R	             67	             65	          0
C	1
S	             68	          0	W
I	             71	             71	  0
S	             71	          0	F
L	             71	          0	PC 0000119c
S	             69	          0	E
L	             69	          0	 Standard instr 
C	1
S	             69	          0	W
L	             69	          0	 Scoreboard: 0f 00000001
S	             70	          0	D
L	             70	          0	PC 00001198
S	             70	          0	D
L	             70	          0	 Scoreboard Set: 0f 00000000
R	             68	             66	          0
C	1
I	             72	             72	  0
S	             72	          0	F
L	             72	          0	PC 000011a0
S	             70	          0	E
L	             70	          0	 Standard instr 
S	             71	          0	D
L	             71	          0	PC 0000119c
S	             71	          0	D
R	             69	             67	          0
C	1
S	             70	          0	W
L	             70	          0	 Scoreboard: 0f 00000001
I	             73	             73	  0
S	             73	          0	F
L	             73	          0	PC 000011a4
S	             71	          0	E
L	             71	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffec, data: 'h00000088 }
S	             72	          0	D
L	             72	          0	PC 000011a0
S	             72	          0	D
C	1
S	             71	          0	W
I	             74	             74	  0
S	             74	          0	F
L	             74	          0	PC 000011a8
S	             72	          0	E
L	             72	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffe8, data: 'h00000000 }
S	             73	          0	D
L	             73	          0	PC 000011a4
S	             73	          0	D
R	             70	             68	          0
C	1
S	             72	          0	W
I	             75	             75	  0
S	             75	          0	F
L	             75	          0	PC 000011ac
S	             73	          0	E
L	             73	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffe4, data: 'h00000000 }
S	             74	          0	D
L	             74	          0	PC 000011a8
S	             74	          0	D
R	             71	             69	          0
C	1
S	             73	          0	W
I	             76	             76	  0
S	             76	          0	F
L	             76	          0	PC 000011b0
S	             74	          0	E
L	             74	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffe0, data: 'h00000000 }
S	             75	          0	D
L	             75	          0	PC 000011ac
S	             75	          0	D
R	             72	             70	          0
C	1
S	             74	          0	W
I	             77	             77	  0
S	             77	          0	F
L	             77	          0	PC 000011b4
S	             75	          0	E
L	             75	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffdc, data: 'h00000000 }
S	             76	          0	D
L	             76	          0	PC 000011b0
S	             76	          0	D
R	             73	             71	          0
C	1
S	             75	          0	W
I	             78	             78	  0
S	             78	          0	F
L	             78	          0	PC 000011b8
S	             76	          0	E
L	             76	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffd8, data: 'h00000000 }
S	             77	          0	D
L	             77	          0	PC 000011b4
S	             77	          0	D
R	             74	             72	          0
C	1
S	             76	          0	W
I	             79	             79	  0
S	             79	          0	F
L	             79	          0	PC 000011bc
S	             77	          0	E
L	             77	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffd4, data: 'h00000000 }
S	             78	          0	D
L	             78	          0	PC 000011b8
S	             78	          0	D
R	             75	             73	          0
C	1
S	             77	          0	W
I	             80	             80	  0
S	             80	          0	F
L	             80	          0	PC 000011c0
S	             78	          0	E
L	             78	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffd0, data: 'h00000000 }
S	             79	          0	D
L	             79	          0	PC 000011bc
S	             79	          0	D
R	             76	             74	          0
C	1
S	             78	          0	W
I	             81	             81	  0
S	             81	          0	F
L	             81	          0	PC 000011c4
S	             79	          0	E
L	             79	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffcc, data: 'h00000000 }
S	             80	          0	D
L	             80	          0	PC 000011c0
S	             80	          0	D
R	             77	             75	          0
C	1
S	             79	          0	W
I	             82	             82	  0
S	             82	          0	F
L	             82	          0	PC 000011c8
S	             80	          0	E
L	             80	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffc8, data: 'h00000000 }
S	             81	          0	D
L	             81	          0	PC 000011c4
S	             81	          0	D
R	             78	             76	          0
C	1
S	             80	          0	W
I	             83	             83	  0
S	             83	          0	F
L	             83	          0	PC 000011cc
S	             81	          0	E
L	             81	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffc4, data: 'h00000000 }
S	             82	          0	D
L	             82	          0	PC 000011c8
S	             82	          0	D
R	             79	             77	          0
C	1
S	             81	          0	W
I	             84	             84	  0
S	             84	          0	F
L	             84	          0	PC 000011d0
S	             82	          0	E
L	             82	          0	 MEM Mem { byte_en: 'hf, addr: 'h0fffffc0, data: 'h00000000 }
S	             83	          0	D
L	             83	          0	PC 000011cc
S	             83	          0	D
R	             80	             78	          0
C	1
S	             82	          0	W
I	             85	             85	  0
S	             85	          0	F
L	             85	          0	PC 000011d4
S	             83	          0	E
